,year,population,gdp,cement_co2,co2,co2_per_gdp,co2_per_unit_energy,coal_co2,consumption_co2_per_gdp,energy_per_gdp,gas_co2,oil_co2,primary_energy_consumption,trade_co2,trade_co2_share,exports,CBAM_Cost_given,AHS_Dutiable_Imports
0,2003.0,167110250.0,543920000000.0,5.171,117.462,0.216,0.21,13.165,0.221,1.029,54.912,44.213,559.927,2.921,2.487,2651702.3,97.75,738854.47
1,2004.0,171285998.0,592026000000.0,5.604,129.796,0.219,0.208,17.078,0.239,1.052,60.778,46.335,623.062,11.816,9.103,2953805.74,97.75,1126036.24
2,2005.0,175453212.0,641139000000.0,6.639,133.645,0.208,0.207,15.147,0.228,1.008,63.495,48.363,646.484,12.385,9.267,3454139.9,97.75,1261434.7
3,2006.0,179682692.0,685966000000.0,7.887,144.053,0.21,0.211,18.191,0.23,0.993,63.756,54.219,681.332,13.433,9.325,3673078.5,97.75,1346384.3
4,2007.0,184493230.0,719254000000.0,9.465,157.678,0.219,0.218,25.384,0.237,1.007,64.952,57.877,724.411,12.587,7.983,4009161.37,97.75,1883176.54
5,2008.0,189499114.0,746913000000.0,10.33,155.149,0.208,0.213,20.137,0.226,0.975,65.754,58.928,727.998,13.84,8.921,4029014.92,97.75,1028100.38
6,2009.0,194376535.0,774881000000.0,11.611,155.521,0.201,0.211,18.613,0.216,0.952,66.989,58.309,737.606,11.715,7.533,3458428.34,97.75,1023926.32
7,2010.0,199239047.0,805492000000.0,11.214,154.202,0.191,0.208,17.719,0.206,0.92,63.123,62.145,740.76,11.926,7.734,4323540.07,97.75,1545196.01
8,2011.0,203746069.0,845097000000.0,11.022,154.801,0.183,0.209,17.316,0.2,0.876,65.959,60.504,740.263,14.073,9.091,5394504.59,97.75,1983389.35
9,2012.0,207667129.0,878485000000.0,11.391,154.768,0.176,0.225,14.579,0.195,0.783,64.179,63.618,687.836,16.41,10.603,4312356.31,97.75,1665095.18
10,2013.0,211073979.0,918329000000.0,11.962,151.847,0.165,0.202,13.985,0.18,0.819,63.719,61.041,751.742,13.66,8.996,4968625.73,97.75,1832924.02
11,2014.0,214264649.0,961517000000.0,12.198,156.705,0.163,0.202,19.02,0.18,0.807,64.201,60.423,775.935,16.484,10.519,5692289.69,97.75,2874351.85
12,2015.0,217290885.0,1010825297920.0,12.704,150.59,0.149,0.185,18.206,0.172,0.807,64.406,54.377,815.859,22.855,15.177,5389913.18,97.75,2996569.32
13,2016.0,220138862.0,1061146787840.0,14.128,178.032,0.168,0.328,24.233,0.192,0.511,64.522,74.334,542.201,25.396,14.265,5787474.66,97.75,3071879.26
14,2017.0,223273975.0,1117267165184.0,14.752,218.361,0.195,0.232,41.29,0.217,0.842,77.919,83.719,940.998,24.154,11.061,6355863.4,97.75,0.0
15,2018.0,226928893.0,1165406502912.0,15.581,210.348,0.18,0.217,47.12,0.2,0.833,80.049,67.023,971.03,22.229,10.568,6643941.99,97.75,3682060.01
16,2019.0,230800909.0,1172330119168.0,15.437,207.622,0.177,0.211,50.529,0.195,0.838,79.284,61.91,982.516,20.741,9.99,6725186.15,97.75,2854883.51
17,2020.0,235001743.0,1202026446848.0,17.645,230.754,0.192,0.236,61.814,0.206,0.813,70.557,80.284,977.217,17.257,7.479,6508751.49,97.75,1867385.74
18,2021.0,239477805.0,1278204968960.0,18.621,247.901,0.194,0.229,63.31,0.211,0.848,70.36,95.169,1083.791,21.607,8.716,8070929.3,97.75,2792124.8
19,2022.0,243700667.0,1318834929664.0,16.917,223.834,0.17,0.224,56.305,0.188,0.757,59.875,90.286,998.705,23.946,10.698,9115212.61,97.75,1867385.74
20,2023.0,247504504.0,15.971,200.667,0.214,54.056,59.314,70.899,936.701,1695933.74,,,,,,,,
